prediction	target	average probability	entropy	dist
기 만 되 시 오	기 만 됩 시 오	0.14816385746002197	0.539801836013794	1
세 우 심	세 우 시 기 - u s i g i	0.14768097698688507	0.691922128200531	15
호 흡 하 심	옹 호 하 심	0.07239376306533814	0.7685822248458862	2
이 용 했 다	이 용 됐 다	0.13833439201116562	0.7589303851127625	1
정 찰 하 셔	정 찰 하 셔	0.24865885376930236	0.3581804037094116	0
휴 식 할	휴 식 할	0.32392675081888833	0.4224012792110443	0
협 박 해	협 박 해	0.32916831572850547	0.39180174469947815	0
성 폭 행 했 습 니 까	성 폭 행 했 습 니 까	0.14179005793162755	0.28750288486480713	0
치 셨 습 니 다	치 달 으 셨 습 니 다	0.06724152266979218	0.7572293281555176	4
해 오 하 면	오 해 하 면	0.13561210334300994	0.8332916498184204	2
투 했 습 니 까	투 항 했 습 니 까	0.13886144757270813	0.5376313924789429	2
과 거 하 였 음	과 거 하 였 음	0.09006757497787475	0.5692609548568726	0
들 뜨 지 어 야	들 뜨 면	0.11070000529289245	0.695746898651123	5
아 탔 어 요	아 <UNK> <UNK> 으 시 겠 어 요	0.01684240996837616	0.9296553134918213	17
허 했 다	허 용 했 다	0.2453832765420278	0.6100721955299377	2
개 지 랄 하 면	개 지 랄 해 야	0.19873717784881592	0.33101704716682434	2
실 례 하 고	실 례 하 고	0.195785354077816	0.5874313116073608	0
타 일 렀 습 니 다	안 타 <UNK> 습 니 다	0.06547360022862753	0.739525318145752	7
날 다	날 아 간 다	0.27156510949134827	0.9558831453323364	4
빗 겼 느 냐	<UNK> 기 느 냐	0.04305537641048431	1.0897510051727295	6
습 니 까	<UNK> 령 했 습 니 까	0.03452659447987874	0.864031970500946	10
감 명 되 려 고	감 명 되 려 고	0.19244539499282837	0.3703286349773407	0
연 주 하 시 라	연 주 하 시 라	0.17538307189941407	0.37718525528907776	0
용 용 하 지 만	용 한 데	0.06745728194713592	0.8097314834594727	6
해 방 하 시 는	방 해 하 시 는	0.1700331127643585	0.4462127685546875	2
미 소 지 겠 다	미 소 짓 겠 다	0.07171727150678635	0.7311832308769226	1
늘 었 기	느 심	0.11406266738971074	1.0533666610717773	4
대 표 하 였 기	대 표 하 였 기	0.1362392962537706	0.5147632360458374	0
넘 어	넘 어 가	0.3915159448981285	0.6514557003974915	2
날 라 요	할 <UNK> 어 요	0.056079047918319705	1.2389214038848877	8
생 산 하 면	생 산 하 여 야	0.24512878358364104	0.37006667256355286	3
간 청 했 습 니 까	간 청 했 습 니 까	0.1462211767832438	0.39440834522247314	0
나 셨 어	나 뉘 셨 어	0.17871362765630086	0.738701581954956	2
근 무 하 고	근 무 하 고	0.24901944696903228	0.3543759286403656	0
뺏 어	<UNK> 려	0.039412111043930054	1.604735016822815	6
뜻 했 냐	<UNK> <UNK> 했 냐	0.04556603829065959	1.114998459815979	11
벗 겨	겨 루 어	0.19452324956655503	1.3082871437072754	4
찌 르 다	찌 <UNK> 다	0.15828065276145936	0.8913537263870239	5
교 환 하 셨 습 니 다	교 환 하 셨 습 니 다	0.1421827793121338	0.2838400900363922	0
견 성 하 시 는	견 성 하 시 는	0.18420007944107056	0.4287004768848419	0
들 어 서 겠 습 니 다	들 어 서 겠 습 니 다	0.14227345330374583	0.28329798579216003	0
해 정 지 어 요	정 해 지 어 요	0.16710989713668822	0.4973433315753937	2
지 다 하 세 요	지 루 하 세 요	0.18362104177474975	0.41947653889656067	1
건 너 갔 습 니 까	건 너 갔 습 니 까	0.16525286038716633	0.3098016083240509	0
돌 아 보 려 고	돌 아 보 려 고	0.19833801984786986	0.335561603307724	0
관 련 되 다	관 련 된 다	0.12157775610685348	0.8565906286239624	1
훑 어 났 기	훑 어 읽 었 기	0.1395719826221466	0.7835842370986938	3
의 탁 했 기	토 의 했 음	0.0802360063418746	0.8384939432144165	3
색 돼 요	색 <UNK> 돼 요	0.14746469656626385	0.9533588290214539	6
소 원 하 시 려 고	소 원 하 시 려 고	0.16595913767814635	0.30561161041259766	0
박 수 합 니 다	박 수 갈 채 합 니 다	0.09495435953140259	0.7011541128158569	4
굶 으 시 느 냐	쩌 시 느 냐	0.029877785444259643	1.0165226459503174	3
달 궈	매 달 았 습 니 다	0.08223498463630677	0.8236489295959473	9
부 릅 뜨 지 만	부 <UNK> 없 는 데	0.08881215110421181	0.817483127117157	8
갈 라 지 셔	갈 라 지 셔	0.24092295467853547	0.3910559117794037	0
절 단 하 시 겠 다	절 단 하 시 겠 다	0.1607254962126414	0.3345404863357544	0
담 가 하 시 겠 어 요	담 <UNK> 하 시 겠 어 요	0.041926372476986475	0.6377859115600586	5
과 여 하 고	여 과 하 고	0.24779900908470154	0.36374661326408386	2
까 리 시 려 고	깔 리 시 려 고	0.1833368182182312	0.4358249604701996	1
두 르 려 고	두 르 려 고	0.18602569922804832	0.6178768873214722	0
저 주 시 느 냐	주 저 <UNK> 으 시 느 냐	0.1689547836780548	0.4509808123111725	9
기 어	기 어 가 겠 어	0.33523519039154054	0.6609654426574707	6
분 명 하 시 겠 어 요	분 명 하 시 겠 어 요	0.1360430462019784	0.32016366720199585	0
진 합 니 다	<UNK> 진 합 니 다	0.1105375699698925	0.7711174488067627	6
생 생 하 더 니	생 생 하 더 니	0.08007470965385437	0.6919313073158264	0
물 셨 어	물 드 셨 어	0.19688716928164166	0.7537944316864014	2
